Time,accX1,accY1,accZ1,accX2,accY2,accZ2,wX1,wY1,wZ1,wX2,wY2,wZ2
15.68002,-0.914712176,-0.045671174,-0.142188297,-0.115564219,-0.836792836,0.553838727,-0.01385605,-0.127901986,-0.371715158,0.183105469,-2.014160156,-2.868652344
15.690021,-0.923010115,-0.048355801,-0.143408582,-0.115564219,-0.836792836,0.553838727,-0.017852986,-0.121240422,-0.294707507,1.037597656,-2.136230469,-2.807617188
15.700021,-0.928379369,-0.04762363,-0.143896696,-0.116540781,-0.837036977,0.554082867,-0.024248086,-0.120441042,-0.231022969,0.915527344,-2.136230469,-2.807617188
15.71002,-0.928379369,-0.047135516,-0.142188297,-0.115686289,-0.837036977,0.554449078,-0.019185297,-0.130566612,-0.163341507,0.915527344,-2.197265625,-2.807617188
15.720021,-0.930087817,-0.057141866,-0.144872924,-0.116540781,-0.836670766,0.553106305,0.0042634,-0.157479316,-0.146820813,1.037597656,-2.197265625,-2.868652344
15.73002,-0.929599703,-0.068856615,-0.145605095,-0.116296641,-0.837769398,0.553960797,0.032241959,-0.187323123,-0.203310877,1.159667969,-2.197265625,-2.807617188
15.74002,-0.928135361,-0.06763633,-0.145849152,-0.116418711,-0.837525258,0.553472516,0.062085759,-0.188655436,-0.295240432,1.708984375,-2.258300781,-2.807617188
15.75002,-0.923254123,-0.071053128,-0.140235841,-0.11617457,-0.836060414,0.553716656,0.084468603,-0.171068922,-0.37917611,2.685546875,-2.258300781,-2.746582031
15.76002,-0.920813553,-0.077154554,-0.13437846,-0.115442148,-0.837769398,0.55505943,0.088199086,-0.186257273,-0.458581924,3.41796875,-2.44140625,-2.746582031
15.770021,-0.91520029,-0.083500048,-0.130473548,-0.115442148,-0.835938344,0.555425641,0.066349156,-0.217966303,-0.479099542,2.990722656,-2.44140625,-2.685546875
15.78002,-0.915932412,-0.081547592,-0.135110631,-0.11617457,-0.836792836,0.556280133,0.035972435,-0.266728938,-0.393298626,2.44140625,-2.319335938,-2.807617188
15.79002,-0.923742237,-0.085208447,-0.138527442,-0.116784922,-0.837891469,0.55505943,0.015721286,-0.278186828,-0.22382848,1.831054688,-2.197265625,-2.807617188
15.800015,-0.918861097,-0.090089588,-0.128277035,-0.115075938,-0.836914906,0.554815289,0.007194487,-0.252339959,-0.110049009,1.831054688,-2.319335938,-2.868652344
15.81002,-0.91031915,-0.098387539,-0.125592407,-0.117151133,-0.836792836,0.554327008,0.019718224,-0.234486982,-0.127102599,2.136230469,-2.258300781,-2.807617188
15.82002,-0.908610702,-0.106685489,-0.126080521,-0.1160525,-0.836060414,0.555547711,0.015987748,-0.212637067,-0.196116373,2.380371094,-2.44140625,-2.807617188
15.83002,-0.910807264,-0.10156028,-0.122175597,-0.116296641,-0.836670766,0.554449078,-0.005595712,-0.188921899,-0.226493105,1.953125,-2.380371094,-2.868652344
15.840022,-0.899824649,-0.101804337,-0.112169259,-0.116784922,-0.837281117,0.555669781,-0.031975497,-0.188655436,-0.202245027,2.136230469,-2.319335938,-2.868652344
15.850023,-0.891770816,-0.098631596,-0.101918852,-0.117395273,-0.837403188,0.557012555,-0.046630934,-0.232088804,-0.197981626,2.136230469,-2.319335938,-2.807617188
15.86002,-0.8946995,-0.103024622,-0.100698567,-0.117029063,-0.836548695,0.557256695,-0.057555895,-0.280851454,-0.18385911,1.831054688,-2.319335938,-2.9296875
15.870022,-0.898848421,-0.11156663,-0.10289508,-0.1160525,-0.836182484,0.555791852,-0.069013782,-0.326949447,-0.177730486,1.159667969,-2.319335938,-2.868652344
15.880023,-0.908610702,-0.108637946,-0.102651023,-0.117517344,-0.837525258,0.554815289,-0.089531392,-0.34693414,-0.146554366,0.671386719,-2.258300781,-2.9296875
15.89002,-0.913735948,-0.103512748,-0.102162909,-0.116906992,-0.837281117,0.555425641,-0.111114852,-0.329880536,-0.068747319,1.159667969,-2.258300781,-2.807617188
